congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,President,99912,99,0.0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
116,House,20301,41,3.0,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.379,0.377,-160.3374,0.81047,763,67,,0.52,0.388
116,House,21102,41,7.0,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.401,0.393,-28.10821,0.965,789,12,,-0.43,0.384
116,House,21192,41,2.0,AL,200,,,"ROBY, Martha",R000591,1976,,0.362,0.658,-90.42097,0.88244,723,31,,0.346,0.672
116,House,21193,41,5.0,AL,200,,,"BROOKS, Mo",B001274,1954,,0.652,-0.417,-140.71682,0.83962,805,57,,0.772,-0.337
116,House,21376,41,1.0,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-107.81607,0.85611,694,42,,0.702,0.194
116,House,21500,41,6.0,AL,200,,,"PALMER, Gary James",P000609,1954,,0.677,0.115,-96.87946,0.88431,788,38,,0.669,0.085
116,House,29701,41,4.0,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.405,0.467,-113.91383,0.86029,757,45,,0.449,0.499
116,House,14066,81,1.0,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-225.61247,0.74545,768,84,,0.336,0.085
116,House,21995,93,0.0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947,,0.325,0.186,-16.13528,0.7642,60,7,,0.413,0.014
116,House,20305,61,3.0,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.264,-23.04466,0.97052,770,9,,-0.594,-0.543
116,House,20902,61,2.0,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.169,-0.01,-45.98655,0.93762,714,18,,-0.369,0.401
116,House,21103,61,4.0,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.704,-0.518,-105.20123,0.86977,754,33,,0.919,-0.395
116,House,21105,61,6.0,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.554,-0.224,-196.60826,0.78425,809,83,,0.521,-0.312
116,House,21502,61,7.0,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.359,0.14,-24.53846,0.96972,798,10,,-0.431,0.046
116,House,21705,61,5.0,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.818,-0.575,-96.2597,0.88583,794,33,,1.0,-0.03
116,House,21739,61,1.0,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.198,0.18,-43.50479,0.94701,799,16,,-0.333,0.404
116,House,21757,61,8.0,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.616,-0.104,-111.06593,0.86931,793,53,,0.591,0.019
116,House,21968,61,9.0,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.276,0.261,-32.02672,0.96119,809,9,,-0.313,-0.042
116,House,21106,42,1.0,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.46,0.309,-81.05613,0.89704,746,32,,0.508,0.518
116,House,21108,42,3.0,AR,200,,,"WOMACK, Steve",W000809,1957,,0.348,0.636,-70.51181,0.91673,811,28,,0.382,0.599
116,House,21503,42,2.0,AR,200,,,"HILL, French",H001072,1956,,0.437,0.271,-92.29017,0.89168,805,34,,0.421,0.337
116,House,21563,42,4.0,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.546,0.253,-77.95345,0.90671,796,31,,0.557,0.395
116,House,15448,71,12.0,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.181,-1.08562,0.98416,68,0,,-0.399,0.23
116,House,20104,71,28.0,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.352,-0.11,-14.83516,0.98183,809,4,,-0.427,-0.005
116,House,20108,71,53.0,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.103,-15.76482,0.98049,800,4,,-0.341,-0.007
116,House,20307,71,22.0,CA,200,,,"NUNES, Devin",N000181,1973,,0.45,0.223,-81.10016,0.90371,801,30,,0.462,0.366
116,House,20310,71,38.0,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.131,-13.16211,0.98341,787,5,,-0.523,-0.037
116,House,20501,71,16.0,CA,100,,,"COSTA, Jim",C001059,1952,,-0.198,0.447,-94.39728,0.88896,802,29,,-0.373,0.757
116,House,20538,71,6.0,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.434,-0.142,-27.9085,0.96588,804,9,,-0.42,0.083
116,House,20702,71,9.0,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.263,-0.159,-19.97492,0.97494,787,8,,-0.428,-0.167
116,House,20703,71,23.0,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.453,0.233,-93.5791,0.88816,789,41,,0.424,0.371
116,House,20762,71,14.0,CA,100,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.381,-0.41,-40.95259,0.9484,773,9,,-0.316,-0.227
116,House,20903,71,4.0,CA,200,,,"McCLINTOCK, Tom",M001177,1956,,0.672,-0.37,-162.79054,0.81399,791,81,,0.645,-0.386
116,House,20955,71,27.0,CA,100,,,"CHU, Judy",C001080,1953,,-0.482,-0.37,-16.12187,0.98027,809,6,,-0.437,-0.42
116,House,20958,71,3.0,CA,100,,,"GARAMENDI, John",G000559,1945,,-0.313,-0.096,-31.59292,0.96114,797,9,,-0.303,-0.032
116,House,20963,71,50.0,CA,200,,,"HUNTER, Duncan Duane",H001048,1976,,0.539,0.085,-124.54558,0.79736,550,57,,0.637,-0.1
116,House,21110,71,37.0,CA,100,,,"BASS, Karen",B001270,1953,,-0.584,-0.098,-16.74924,0.97843,768,8,,-0.572,-0.369
116,House,21302,71,1.0,CA,200,,,"LaMALFA, Doug",L000578,1960,,0.541,0.011,-123.88918,0.85417,786,49,,0.507,0.083
116,House,21303,71,2.0,CA,100,,,"HUFFMAN, Jared",H001068,1964,,-0.431,-0.511,-28.09056,0.96485,785,10,,-0.428,-0.684
116,House,21304,71,7.0,CA,100,,,"BERA, Ami",B001287,1965,,-0.246,0.007,-28.76154,0.96511,810,11,,-0.363,0.303
116,House,21305,71,8.0,CA,200,,,"COOK, Paul",C001094,1943,,0.372,0.208,-106.11394,0.87064,766,43,,0.323,0.37
116,House,21306,71,15.0,CA,100,,,"SWALWELL, Eric",S001193,1980,,-0.354,-0.047,-21.83709,0.96572,626,7,,-0.521,0.264
116,House,21308,71,26.0,CA,100,,,"BROWNLEY, Julia",B001285,1952,,-0.303,0.049,-29.94602,0.96317,798,12,,-0.369,0.216
116,House,21309,71,29.0,CA,100,,,"CÁRDENAS, Tony",C001097,1963,,-0.39,-0.046,-29.34938,0.9627,772,14,,-0.45,0.043
116,House,21311,71,36.0,CA,100,,,"RUIZ, Raul",R000599,1972,,-0.258,0.045,-40.76935,0.95097,811,18,,-0.392,0.219
116,House,21312,71,41.0,CA,100,,,"TAKANO, Mark",T000472,1960,,-0.458,-0.328,-18.65424,0.97684,796,7,,-0.408,-0.353
116,House,21313,71,47.0,CA,100,,,"LOWENTHAL, Alan",L000579,1941,,-0.449,-0.384,-16.31742,0.98003,809,4,,-0.482,-0.52
116,House,21314,71,51.0,CA,100,,,"VARGAS, Juan",V000130,1961,,-0.397,0.024,-30.98437,0.96163,792,11,,-0.554,-0.187
116,House,21315,71,52.0,CA,100,,,"PETERS, Scott",P000608,1958,,-0.193,-0.033,-60.94854,0.92584,791,24,,-0.227,0.179
116,House,21504,71,11.0,CA,100,,,"DESAULNIER, Mark James",D000623,1952,,-0.514,-0.363,-16.14983,0.98006,802,7,,-0.453,-0.608
116,House,21506,71,31.0,CA,100,,,"AGUILAR, Peter Rey",A000371,1979,,-0.323,0.139,-47.66734,0.94244,804,19,,-0.443,0.395
116,House,21507,71,33.0,CA,100,,,"LIEU, Ted",L000582,1969,,-0.376,-0.208,-25.97431,0.967,774,9,,-0.592,-0.169
116,House,21508,71,35.0,CA,100,,,"TORRES, Norma Judith",T000474,1965,,-0.368,0.071,-32.92302,0.95968,800,12,,-0.395,0.075
116,House,21703,71,44.0,CA,100,,,"BARRAGÁN, Nanette Diaz",B001300,1976,,-0.501,-0.121,-20.35785,0.97481,798,11,,-0.492,-0.486
116,House,21709,71,24.0,CA,100,,,"CARBAJAL, Salud",C001112,1964,,-0.325,0.1,-16.42855,0.97995,811,4,,-0.357,0.077
116,House,21711,71,46.0,CA,100,,,"CORREA, Jose Luis",C001110,1958,,-0.284,0.15,-55.90594,0.93234,798,26,,-0.341,0.169
116,House,21728,71,17.0,CA,100,,,"KHANNA, Rohit",K000389,1976,,-0.464,-0.303,-39.84293,0.95194,809,14,,-0.323,-0.665
116,House,21740,71,20.0,CA,100,,,"PANETTA, James Varni",P000613,1969,,-0.289,0.185,-34.63008,0.9582,811,14,,-0.306,0.238
116,House,21754,71,34.0,CA,100,,,"GOMEZ, Jimmy",G000585,1974,,-0.534,-0.263,-28.32445,0.96538,804,11,,-0.416,-0.569
116,House,21907,71,39.0,CA,100,,,"CISNEROS, Gil",C001123,1971,,-0.461,0.692,-50.1125,0.93986,808,17,,-0.376,0.575
116,House,21909,71,21.0,CA,100,,,"COX, TJ",C001124,1963,,-0.343,0.478,-48.50115,0.94117,800,14,,-0.344,0.479
116,House,21930,71,10.0,CA,100,,,"HARDER, Josh",H001090,1986,,-0.307,0.493,-64.49787,0.92291,804,17,,-0.386,0.763
116,House,21932,71,25.0,CA,100,,,"HILL, Katie",H001087,1987,,-0.306,0.114,-20.26703,0.96104,510,8,,-0.305,0.113
116,House,21939,71,49.0,CA,100,,,"LEVIN, Mike",L000593,1978,,-0.321,0.17,-21.80015,0.97348,811,7,,-0.353,0.124
116,House,21954,71,45.0,CA,100,,,"PORTER, Katie",P000618,1974,,-0.236,-0.332,-132.32742,0.8472,798,40,,-0.179,0.016
116,House,21960,71,48.0,CA,100,,,"ROUDA, Harley",R000616,1961,,-0.336,0.559,-42.41024,0.94792,793,11,,-0.336,0.56
116,House,21988,71,25.0,CA,200,,,"GARCIA, Mike",G000061,1976,,0.356,0.097,-15.14211,0.88237,121,6,,0.386,0.447
116,House,29106,71,43.0,CA,100,,,"WATERS, Maxine",W000187,1938,,-0.656,-0.095,-55.81321,0.93285,803,19,,-0.589,0.367
116,House,29312,71,18.0,CA,100,,,"ESHOO, Anna Georges",E000215,1942,,-0.379,-0.372,-12.91469,0.98376,789,5,,-0.395,-0.213
116,House,29317,71,40.0,CA,100,,,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.469,-0.171,-15.44375,0.98076,795,5,,-0.399,-0.107
116,House,29323,71,42.0,CA,200,,,"CALVERT, Ken",C000059,1953,,0.339,0.276,-79.82419,0.90412,792,24,,0.321,0.524
116,House,29504,71,19.0,CA,100,,,"LOFGREN, Zoe",L000397,1947,,-0.398,-0.405,-33.02059,0.95901,789,11,,-0.461,-0.466
116,House,29707,71,30.0,CA,100,,,"SHERMAN, Brad",S000344,1954,,-0.344,-0.136,-20.92575,0.97405,796,11,,-0.454,0.067
116,House,29778,71,13.0,CA,100,,,"LEE, Barbara",L000551,1946,,-0.676,-0.582,-25.69659,0.96847,802,11,,-0.545,-0.828
116,House,29901,71,5.0,CA,100,,,"THOMPSON, Michael",T000460,1951,,-0.392,0.072,-36.92899,0.95455,794,18,,-0.441,0.414
116,House,29903,71,32.0,CA,100,,,"NAPOLITANO, Grace Flores",N000179,1936,,-0.448,-0.247,-18.33875,0.97742,803,9,,-0.479,-0.253
116,House,20704,62,5.0,CO,200,,,"LAMBORN, Doug",L000564,1954,,0.665,0.257,-72.82798,0.91151,786,30,,0.636,0.236
116,House,20705,62,7.0,CO,100,,,"PERLMUTTER, Ed",P000593,1953,,-0.282,0.072,-29.08088,0.96294,770,10,,-0.301,-0.033
116,House,21111,62,3.0,CO,200,,,"TIPTON, Scott",T000470,1956,,0.451,-0.023,-127.84774,0.85366,808,51,,0.445,-0.0
116,House,21510,62,4.0,CO,200,,,"BUCK, Kenneth Robert",B001297,1959,,0.655,-0.432,-118.26714,0.84676,711,44,,0.73,-0.418
116,House,21912,62,6.0,CO,100,,,"CROW, Jason",C001121,1979,,-0.353,0.195,-72.21685,0.9147,810,28,,-0.273,0.408
116,House,21948,62,2.0,CO,100,,,"NEGUSE, Joseph",N000191,1984,,-0.426,-0.106,-22.04652,0.97312,809,10,,-0.466,-0.463
116,House,29710,62,1.0,CO,100,,,"DeGETTE, Diana",D000197,1957,,-0.431,-0.308,-18.2228,0.97751,801,8,,-0.4,-0.356
116,House,20706,1,2.0,CT,100,,,"COURTNEY, Joe",C001069,1953,,-0.337,0.041,-21.97675,0.97323,810,5,,-0.36,0.014
116,House,20907,1,4.0,CT,100,,,"HIMES, James A.",H001047,1966,,-0.241,-0.209,-41.33434,0.94958,799,16,,-0.32,0.131
116,House,21931,1,5.0,CT,100,,,"HAYES, Jahana",H001081,1973,,-0.321,-0.053,-21.50111,0.97274,778,7,,-0.372,-0.031
116,House,29109,1,3.0,CT,100,,,"DeLAURO, Rosa L.",D000216,1943,,-0.414,-0.107,-19.41565,0.9756,786,7,,-0.378,-0.042
116,House,29908,1,1.0,CT,100,,,"LARSON, John B.",L000557,1948,,-0.396,-0.039,-17.36745,0.97852,800,6,,-0.347,0.01
116,House,21706,11,1.0,DE,100,,,"BLUNT ROCHESTER, Lisa",B001303,1962,,-0.375,-0.133,-14.76113,0.9819,808,4,,-0.399,-0.103
116,House,21993,55,0.0,DC,100,,,"NORTON, Eleanor Holmes",N000147,1937,,-0.491,-0.114,-12.47529,0.94363,215,5,,-0.301,0.113
116,House,20316,43,25.0,FL,200,,,"DIAZ-BALART, Mario",D000600,1961,,0.281,0.158,-133.24019,0.84569,795,48,,0.288,0.2
116,House,20504,43,23.0,FL,100,,,"WASSERMAN SCHULTZ, Debbie",W000797,1966,,-0.415,0.102,-26.12067,0.96748,790,8,,-0.356,0.108
116,House,20708,43,14.0,FL,100,,,"CASTOR, Kathy",C001066,1966,,-0.438,0.072,-16.93411,0.97926,808,5,,-0.417,-0.065
116,House,20709,43,16.0,FL,200,,,"BUCHANAN, Vernon G.",B001260,1951,,0.362,-0.084,-142.43363,0.8331,780,59,,0.342,0.003
116,House,20758,43,12.0,FL,200,,,"BILIRAKIS, Gus",B001257,1963,,0.423,-0.032,-126.47648,0.85067,782,56,,0.406,0.003
116,House,20909,43,8.0,FL,200,,,"POSEY, Bill",P000599,1947,,0.533,-0.353,-182.59337,0.79479,795,83,,0.538,-0.344
116,House,20959,43,22.0,FL,100,,,"DEUTCH, Theodore E. (Ted)",D000610,1966,,-0.401,-0.078,-19.78731,0.97511,785,5,,-0.394,0.062
116,House,21116,43,11.0,FL,200,,,"WEBSTER, Daniel A.",W000806,1949,,0.522,-0.077,-159.5746,0.81016,758,84,,0.56,-0.155
116,House,21118,43,24.0,FL,100,,,"WILSON, Frederica",W000808,1942,,-0.476,-0.006,-12.5304,0.98307,734,4,,-0.538,0.027
116,House,21317,43,3.0,FL,200,,,"YOHO, Ted",Y000065,1955,,0.704,-0.365,-131.16793,0.83387,722,57,,0.715,-0.336
116,House,21321,43,21.0,FL,100,,,"FRANKEL, Lois",F000462,1948,,-0.397,-0.025,-21.9645,0.97195,772,9,,-0.345,-0.022
116,House,21712,43,13.0,FL,100,,,"CRIST, Charlie Joseph Jr.",C001111,1956,,-0.227,0.079,-33.59071,0.95933,809,15,,-0.29,0.282
116,House,21713,43,10.0,FL,100,,,"DEMINGS, Valdez Butler",D000627,1957,,-0.322,-0.006,-20.74385,0.97462,807,6,,-0.314,0.09
116,House,21714,43,2.0,FL,200,,,"DUNN, Neal Patrick",D000628,1953,,0.507,0.334,-124.07492,0.84809,753,55,,0.547,0.173
116,House,21719,43,1.0,FL,200,,,"GAETZ, Matthew L. II",G000578,1982,,0.593,-0.643,-201.9849,0.753,712,96,,0.593,-0.64
116,House,21732,43,5.0,FL,100,,,"LAWSON, Alfred Jr.",L000586,1948,,-0.26,0.076,-35.0294,0.95647,787,15,,-0.262,0.073
116,House,21735,43,18.0,FL,200,,,"MAST, Brian Jeffery",M001199,1980,,0.463,-0.351,-210.51826,0.7624,776,99,,0.455,-0.369
116,House,21738,43,7.0,FL,100,,,"MURPHY, Stephanie",M001202,1978,,-0.161,0.123,-85.71652,0.89935,808,32,,-0.177,0.246
116,House,21742,43,19.0,FL,200,,,"ROONEY, Francis",R000607,1953,,0.501,-0.494,-268.86408,0.60612,537,133,,0.486,-0.634
116,House,21744,43,4.0,FL,200,,,"RUTHERFORD, John Henry",R000609,1952,,0.432,0.068,-165.74947,0.80878,781,74,,0.416,0.033
116,House,21746,43,9.0,FL,100,,,"SOTO, Darren Michael",S001200,1978,,-0.349,0.196,-21.29906,0.97373,800,6,,-0.363,0.008
116,House,21947,43,26.0,FL,100,,,"MUCARSEL-POWELL, Debbie",M001207,1971,,-0.345,0.332,-34.25115,0.9584,806,20,,-0.345,0.333
116,House,21963,43,27.0,FL,100,,,"SHALALA, Donna",S001206,1941,,-0.352,0.021,-17.13918,0.97901,808,6,,-0.351,0.018
116,House,21967,43,15.0,FL,200,,,"SPANO, Ross",S001210,1966,,0.462,0.009,-113.84357,0.86564,789,39,,0.462,0.003
116,House,21971,43,17.0,FL,200,,,"STEUBE, William",S001214,1978,,0.691,-0.34,-129.84445,0.84719,783,55,,0.66,-0.34
116,House,21981,43,6.0,FL,200,,,"WALTZ, Michael",W000823,1974,,0.452,-0.113,-154.61425,0.81657,763,73,,0.411,-0.147
116,House,29337,43,20.0,FL,100,,,"HASTINGS, Alcee Lamar",H000324,1936,2021.0,-0.564,0.157,-14.78068,0.97652,622,4,,-0.54,0.212
116,House,15431,44,5.0,GA,100,,,"LEWIS, John R.",L000287,1940,2020.0,-0.589,-0.221,-11.00536,0.98252,624,5,,-0.449,-0.132
116,House,20321,44,13.0,GA,100,,,"SCOTT, David",S001157,1945,,-0.304,0.169,-23.54187,0.97111,803,5,,-0.361,0.123
116,House,20712,44,4.0,GA,100,,,"JOHNSON, Hank",J000288,1954,,-0.477,-0.052,-36.10237,0.95604,803,10,,-0.461,-0.075
116,House,20962,44,14.0,GA,200,,,"GRAVES, Tom",G000560,1970,,0.716,-0.002,-113.96483,0.85361,720,41,,0.664,0.143
116,House,21122,44,7.0,GA,200,,,"WOODALL, Rob",W000810,1970,,0.593,-0.173,-143.25698,0.83623,801,64,,0.501,0.112
116,House,21123,44,8.0,GA,200,,,"SCOTT, Austin",S001189,1969,,0.535,0.368,-94.91621,0.88652,788,32,,0.56,0.353
116,House,21323,44,9.0,GA,200,,,"COLLINS, Doug",C001093,1966,,0.61,0.134,-81.58804,0.89601,743,31,,0.595,0.303
116,House,21513,44,1.0,GA,200,,,"CARTER, Buddy",C001103,1957,,0.557,0.344,-100.93689,0.88119,798,38,,0.596,0.179
116,House,21514,44,10.0,GA,200,,,"HICE, Jody Brownlow",H001071,1960,,0.797,-0.242,-82.05851,0.89803,763,32,,0.856,-0.087
116,House,21515,44,11.0,GA,200,,,"LOUDERMILK, Barry D.",L000583,1963,,0.68,0.022,-80.52152,0.89119,699,31,,0.715,0.133
116,House,21516,44,12.0,GA,200,,,"ALLEN, Rick W.",A000372,1951,,0.689,0.278,-91.93817,0.89169,802,38,,0.756,0.355
116,House,21717,44,3.0,GA,200,,,"FERGUSON, Anderson Drew IV",F000465,1966,,0.585,0.251,-124.56347,0.85481,794,52,,0.655,0.165
116,House,21944,44,6.0,GA,100,,,"McBATH, Lucy",M001208,1960,,-0.354,0.282,-76.61789,0.90964,809,27,,-0.249,0.354
116,House,21991,44,5.0,GA,100,,,"HALL, Kwanza",H001092,1971,,,,,,,,,-0.392,0.628
116,House,29339,44,2.0,GA,100,,,"BISHOP, Sanford Dixon, Jr.",B000490,1947,,-0.287,0.446,-56.24224,0.93162,794,28,,-0.338,0.281
116,House,21997,94,0.0,GU,100,,,"SAN NICOLAS, Michael",S001204,1981,,-0.41,-0.52,-0.92032,0.99189,113,0,,-0.407,-0.494
116,House,20322,82,1.0,HI,100,,,"CASE, Ed",C001055,1952,,-0.204,-0.081,-51.71928,0.93792,807,17,,-0.195,0.01
116,House,21324,82,2.0,HI,100,,,"GABBARD, Tulsi",G000571,1981,,-0.274,-0.282,-39.27084,0.92793,525,14,,-0.258,-0.641
116,House,21920,63,1.0,ID,200,,,"FULCHER, Russell",F000469,1962,,0.647,-0.091,-100.67467,0.88189,801,39,,0.628,0.036
